거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd,지역,지역코드
2026-09-18,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,19,91000,2007,,경기 화성시 동탄구,,개인,개인,,41590-973,0080,0000,,,중개거래,1,N,,동탄중앙로,00189,00000,3210027,01,41597,0,41597,10200,화성시,41597
2026-09-17,여울동,1044,반도유보라아이비파크3,59.987,1,66500,2016,,경기 화성시 동탄구,,개인,개인,,41590-1498,1044,0000,,,중개거래,1,N,,동탄대로12길,00017,00000,4852346,00,41597,0,41597,11500,화성시,41597
2026-09-16,영천동,716,동탄역반도유보라아이비파크2.0,84.9921,24,90000,2016,,경기 화성시 동탄구,,개인,개인,,41590-1438,0716,0000,,,중개거래,1,N,,동탄순환대로26길,00055,00000,4852383,01,41597,,41597,10600,화성시,41597
2026-09-16,여울동,1044,반도유보라아이비파크3,59.987,6,85000,2016,,경기 화성시 동탄구,,개인,개인,,41590-1498,1044,0000,,,중개거래,1,N,,동탄대로12길,00017,00000,4852346,00,41597,0,41597,11500,화성시,41597
2026-09-16,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,23,90900,2007,,경기 화성시 동탄구,,개인,개인,,41590-973,0080,0000,,,중개거래,1,N,,동탄중앙로,00189,00000,3210027,01,41597,0,41597,10200,화성시,41597
2026-09-15,도곡동,527,도곡렉슬,84.9984,16,357000,2006,,서울 강남구,,개인,개인,,11680-3623,0527,0000,,,중개거래,1,N,,선릉로,00221,00000,3122006,08,11680,0,11680,11800,서울 강남구,11680
2026-09-15,산척동,745,레이크힐 반도유보라 아이비파크 10.2,84.9991,19,59800,2018,,경기 화성시 동탄구,,개인,개인,,41590-1814,0745,0000,,,중개거래,1,N,,동탄순환대로10길,00088,00000,4852370,01,41597,,41597,11000,화성시,41597
2026-09-15,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,1,86300,2007,,경기 화성시 동탄구,,개인,개인,,41590-973,0080,0000,,,중개거래,1,N,,동탄중앙로,00189,00000,3210027,01,41597,0,41597,10200,화성시,41597
2026-09-14,장지동,1009,레이크반도유보라아이비파크9.0,104.3613,13,77000,2017,,경기 화성시 동탄구,,개인,개인,,41590-1719,1009,0000,,,중개거래,1,N,,동탄대로4길,00095,00000,4852335,00,41597,0,41597,11100,화성시,41597
2026-09-14,신흥동,6951,산성역포레스티아,59.84,13,150000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100,성남시 수정구,41131
2026-09-12,잠실동,35,트리지움,84.97,9,321000,2007,,서울 송파구,,개인,개인,,11710-6028,0035,0000,,,중개거래,1,N,,잠실로,00062,00000,3123015,01,11710,0,11710,10100,서울 송파구,11710
2026-09-12,잠실동,19,잠실엘스,84.88,16,332500,2008,,서울 송파구,,개인,개인,,11710-6346,0019,0000,,,중개거래,1,N,,올림픽로,00099,00000,3123023,01,11710,0,11710,10100,서울 송파구,11710
