지역,단지명,면적구간,반기,거래건수,중앙값_만원,최저가_만원,최고가_만원
서울 강남구,논현파라곤,84.4,2026H1,1,155000.0,155000,155000
서울 강남구,논현파라곤,117.8,2021H2,1,172000.0,172000,172000
서울 강남구,논현파라곤,117.8,2025H2,1,175200.0,175200,175200
서울 강남구,논현파라곤,117.8,2026H1,2,178000.0,170000,186000
서울 강남구,논현파라곤,117.8,2026H2,1,197000.0,197000,197000
서울 강남구,논현파라곤,120.2,2020H1,1,150000.0,150000,150000
서울 강남구,논현파라곤,120.2,2024H2,1,198000.0,198000,198000
서울 강남구,논현파라곤,170.6,2021H2,1,210000.0,210000,210000
서울 강남구,도곡렉슬,59.9,2021H1,1,200000.0,200000,200000
서울 강남구,도곡렉슬,59.9,2023H1,1,184500.0,184500,184500
서울 강남구,도곡렉슬,59.9,2025H2,1,270000.0,270000,270000
서울 강남구,도곡렉슬,59.9,2026H1,1,268000.0,268000,268000
서울 강남구,도곡렉슬,60.0,2020H1,15,165000.0,160000,195000
서울 강남구,도곡렉슬,60.0,2020H2,5,184000.0,175000,228000
서울 강남구,도곡렉슬,60.0,2021H1,8,205000.0,189000,232000
서울 강남구,도곡렉슬,60.0,2021H2,5,219000.0,205000,246000
서울 강남구,도곡렉슬,60.0,2022H2,1,240000.0,240000,240000
서울 강남구,도곡렉슬,60.0,2023H1,19,175000.0,160000,205000
서울 강남구,도곡렉슬,60.0,2023H2,13,186500.0,175000,215000
서울 강남구,도곡렉슬,60.0,2024H1,18,217500.0,180000,238000
서울 강남구,도곡렉슬,60.0,2024H2,14,220500.0,190000,249000
서울 강남구,도곡렉슬,60.0,2025H1,21,259000.0,223000,290500
서울 강남구,도곡렉슬,60.0,2025H2,7,283000.0,253000,317000
서울 강남구,도곡렉슬,60.0,2026H1,9,280000.0,250000,290000
서울 강남구,도곡렉슬,60.0,2026H2,2,280000.0,271000,289000
서울 강남구,도곡렉슬,84.9,2020H1,4,230500.0,220000,243000
서울 강남구,도곡렉슬,84.9,2020H2,3,284500.0,270000,285000
서울 강남구,도곡렉슬,84.9,2021H1,1,290000.0,290000,290000
서울 강남구,도곡렉슬,84.9,2021H2,1,287000.0,287000,287000
서울 강남구,도곡렉슬,84.9,2022H2,2,289500.0,280000,299000
서울 강남구,도곡렉슬,84.9,2023H1,3,250000.0,238000,260000
서울 강남구,도곡렉슬,84.9,2023H2,2,271250.0,268000,274500
서울 강남구,도곡렉슬,84.9,2024H1,2,274500.0,274000,275000
서울 강남구,도곡렉슬,84.9,2024H2,3,310000.0,302500,310000
서울 강남구,도곡렉슬,84.9,2025H1,1,339000.0,339000,339000
서울 강남구,도곡렉슬,84.9,2025H2,2,316000.0,255000,377000
서울 강남구,도곡렉슬,84.9,2026H1,4,362250.0,350000,380000
서울 강남구,도곡렉슬,85.0,2020H1,20,230750.0,225000,249000
서울 강남구,도곡렉슬,85.0,2020H2,7,277500.0,265500,288000
서울 강남구,도곡렉슬,85.0,2021H1,7,285500.0,279500,289000
서울 강남구,도곡렉슬,85.0,2021H2,9,290000.0,273000,320000
서울 강남구,도곡렉슬,85.0,2022H1,4,311500.0,160000,313000
서울 강남구,도곡렉슬,85.0,2022H2,3,315000.0,278000,315000
서울 강남구,도곡렉슬,85.0,2023H1,25,256000.0,235000,275000
서울 강남구,도곡렉슬,85.0,2023H2,6,277000.0,255000,283700
서울 강남구,도곡렉슬,85.0,2024H1,19,288000.0,278000,309000
서울 강남구,도곡렉슬,85.0,2024H2,9,330000.0,312000,344500
서울 강남구,도곡렉슬,85.0,2025H1,16,339000.0,320000,357000
서울 강남구,도곡렉슬,85.0,2025H2,6,388750.0,350000,400000
서울 강남구,도곡렉슬,85.0,2026H1,10,353500.0,295000,377500
서울 강남구,도곡렉슬,85.0,2026H2,2,367500.0,357000,378000
서울 강남구,도곡렉슬,115.0,2020H1,5,290000.0,241000,310000
서울 강남구,도곡렉슬,115.0,2020H2,8,320000.0,315000,337000
서울 강남구,도곡렉슬,115.0,2021H1,3,332000.0,323000,347000
서울 강남구,도곡렉슬,115.0,2021H2,1,410000.0,410000,410000
서울 강남구,도곡렉슬,115.0,2023H1,4,335500.0,285000,357000
서울 강남구,도곡렉슬,115.0,2023H2,4,356000.0,350000,390000
서울 강남구,도곡렉슬,115.0,2024H1,5,347000.0,340000,377000
서울 강남구,도곡렉슬,115.0,2024H2,5,384000.0,320000,395000
서울 강남구,도곡렉슬,115.0,2025H1,8,406000.0,389000,448000
서울 강남구,도곡렉슬,115.0,2025H2,1,450000.0,450000,450000
서울 강남구,도곡렉슬,115.0,2026H1,3,391500.0,390000,430000
서울 강남구,도곡렉슬,119.9,2020H1,7,263000.0,246000,290000
서울 강남구,도곡렉슬,119.9,2020H2,1,328000.0,328000,328000
서울 강남구,도곡렉슬,119.9,2021H1,8,323000.0,307500,330000
서울 강남구,도곡렉슬,119.9,2023H1,6,307750.0,265000,337000
서울 강남구,도곡렉슬,119.9,2023H2,1,328000.0,328000,328000
서울 강남구,도곡렉슬,119.9,2024H1,7,325000.0,276000,365000
서울 강남구,도곡렉슬,119.9,2024H2,4,356000.0,355000,362000
서울 강남구,도곡렉슬,119.9,2025H1,8,388500.0,365000,417000
서울 강남구,도곡렉슬,119.9,2025H2,5,430000.0,425000,441000
서울 강남구,도곡렉슬,119.9,2026H1,7,413000.0,380000,420000
서울 강남구,도곡렉슬,119.9,2026H2,1,415000.0,415000,415000
서울 강남구,도곡렉슬,120.8,2020H1,8,264750.0,243000,299500
서울 강남구,도곡렉슬,120.8,2020H2,4,305000.0,300000,324000
서울 강남구,도곡렉슬,120.8,2021H2,1,349000.0,349000,349000
서울 강남구,도곡렉슬,120.8,2023H1,4,299500.0,290000,322000
서울 강남구,도곡렉슬,120.8,2023H2,1,333000.0,333000,333000
서울 강남구,도곡렉슬,120.8,2024H1,4,339000.0,325000,344000
서울 강남구,도곡렉슬,120.8,2024H2,6,361000.0,335000,370000
서울 강남구,도곡렉슬,120.8,2025H1,11,380000.0,363000,420000
서울 강남구,도곡렉슬,120.8,2025H2,1,450000.0,450000,450000
서울 강남구,도곡렉슬,120.8,2026H1,4,414500.0,360000,450000
서울 강남구,도곡렉슬,120.8,2026H2,1,438000.0,438000,438000
서울 강남구,도곡렉슬,134.9,2020H1,5,320000.0,310000,335000
서울 강남구,도곡렉슬,134.9,2020H2,4,357000.0,335000,365000
서울 강남구,도곡렉슬,134.9,2021H1,1,383000.0,383000,383000
서울 강남구,도곡렉슬,134.9,2021H2,2,427500.0,420000,435000
서울 강남구,도곡렉슬,134.9,2022H1,1,494000.0,494000,494000
서울 강남구,도곡렉슬,134.9,2022H2,1,423000.0,423000,423000
서울 강남구,도곡렉슬,134.9,2023H1,2,401500.0,395000,408000
서울 강남구,도곡렉슬,134.9,2023H2,5,405000.0,372000,435000
서울 강남구,도곡렉슬,134.9,2024H1,8,388750.0,340000,410000
