지역,단지명,면적구간,전체거래건수,최초거래일,최근거래일
서울 강남구,논현파라곤,84.4,1,2026-06-13,2026-06-13
서울 강남구,논현파라곤,117.8,5,2021-08-17,2026-07-14
서울 강남구,논현파라곤,120.2,2,2020-01-20,2024-07-09
서울 강남구,논현파라곤,170.6,1,2021-08-23,2021-08-23
서울 강남구,도곡렉슬,59.9,4,2021-03-14,2026-05-21
서울 강남구,도곡렉슬,60.0,137,2020-01-29,2026-07-31
서울 강남구,도곡렉슬,84.9,28,2020-03-08,2026-05-23
서울 강남구,도곡렉슬,85.0,143,2020-02-08,2026-09-15
서울 강남구,도곡렉슬,115.0,47,2020-02-07,2026-06-04
서울 강남구,도곡렉슬,119.9,55,2020-02-03,2026-08-12
서울 강남구,도곡렉슬,120.8,45,2020-03-04,2026-07-04
서울 강남구,도곡렉슬,134.9,55,2020-02-14,2026-07-31
서울 강남구,도곡렉슬,138.3,3,2020-06-22,2025-09-13
서울 강남구,도곡렉슬,177.0,9,2020-05-05,2026-05-28
서울 강남구,동양파라곤,144.7,1,2022-10-11,2022-10-11
서울 강남구,동양파라곤,157.4,11,2020-07-06,2026-08-11
서울 강남구,동양파라곤,160.3,9,2020-10-29,2026-03-20
서울 강남구,동양파라곤,171.1,7,2023-07-03,2025-12-13
서울 강남구,동양파라곤,180.1,6,2020-05-26,2023-05-25
서울 강남구,동양파라곤,197.5,2,2020-04-13,2020-10-26
서울 강남구,동양파라곤,208.4,1,2021-01-28,2021-01-28
서울 강남구,동양파라곤,214.0,1,2021-03-04,2021-03-04
서울 강남구,동양파라곤,224.4,2,2023-04-26,2026-05-21
서울 강남구,디에이치아너힐즈,49.4,8,2020-11-05,2026-05-01
서울 강남구,디에이치아너힐즈,59.7,32,2020-05-21,2026-08-17
서울 강남구,디에이치아너힐즈,59.8,7,2020-05-02,2025-03-14
서울 강남구,디에이치아너힐즈,59.9,22,2020-06-27,2025-01-21
서울 강남구,디에이치아너힐즈,76.2,36,2020-03-11,2026-08-15
서울 강남구,디에이치아너힐즈,84.4,52,2020-04-27,2026-06-06
서울 강남구,디에이치아너힐즈,84.6,10,2021-01-22,2026-04-30
서울 강남구,디에이치아너힐즈,86.6,1,2025-05-26,2025-05-26
서울 강남구,디에이치아너힐즈,94.3,4,2020-01-04,2025-03-04
서울 강남구,디에이치아너힐즈,94.8,5,2020-10-05,2024-12-31
서울 강남구,디에이치아너힐즈,106.7,2,2021-05-26,2023-08-23
서울 강남구,디에이치아너힐즈,107.0,7,2022-09-15,2026-07-13
서울 강남구,디에이치아너힐즈,131.3,5,2022-02-22,2026-07-31
서울 강남구,디에이치아너힐즈,137.0,1,2024-08-12,2024-08-12
서울 강남구,디에이치아너힐즈,148.3,1,2024-07-15,2024-07-15
서울 강남구,디에이치자이개포,63.8,23,2023-01-05,2025-11-21
서울 강남구,디에이치자이개포,76.5,8,2023-02-03,2025-07-07
