지역,단지명,면적구간,연월,거래건수,중앙값_만원,최저가_만원,최고가_만원
서울 강남구,논현파라곤,84.4,2026-06,1,155000.0,155000,155000
서울 강남구,논현파라곤,117.8,2021-08,1,172000.0,172000,172000
서울 강남구,논현파라곤,117.8,2025-11,1,175200.0,175200,175200
서울 강남구,논현파라곤,117.8,2026-01,1,170000.0,170000,170000
서울 강남구,논현파라곤,117.8,2026-04,1,186000.0,186000,186000
서울 강남구,논현파라곤,117.8,2026-07,1,197000.0,197000,197000
서울 강남구,논현파라곤,120.2,2020-01,1,150000.0,150000,150000
서울 강남구,논현파라곤,120.2,2024-07,1,198000.0,198000,198000
서울 강남구,논현파라곤,170.6,2021-08,1,210000.0,210000,210000
서울 강남구,도곡렉슬,59.9,2021-03,1,200000.0,200000,200000
서울 강남구,도곡렉슬,59.9,2023-05,1,184500.0,184500,184500
서울 강남구,도곡렉슬,59.9,2025-07,1,270000.0,270000,270000
서울 강남구,도곡렉슬,59.9,2026-05,1,268000.0,268000,268000
서울 강남구,도곡렉슬,60.0,2020-01,1,164800.0,164800,164800
서울 강남구,도곡렉슬,60.0,2020-02,4,163000.0,160000,185000
서울 강남구,도곡렉슬,60.0,2020-05,3,179000.0,160000,183000
서울 강남구,도곡렉슬,60.0,2020-06,7,175000.0,160000,195000
서울 강남구,도곡렉슬,60.0,2020-08,1,184000.0,184000,184000
서울 강남구,도곡렉슬,60.0,2020-09,1,218000.0,218000,218000
서울 강남구,도곡렉슬,60.0,2020-11,1,175000.0,175000,175000
서울 강남구,도곡렉슬,60.0,2020-12,2,201500.0,175000,228000
서울 강남구,도곡렉슬,60.0,2021-01,1,230000.0,230000,230000
서울 강남구,도곡렉슬,60.0,2021-02,3,190000.0,189000,232000
서울 강남구,도곡렉슬,60.0,2021-05,3,212000.0,198000,220000
서울 강남구,도곡렉슬,60.0,2021-06,1,195000.0,195000,195000
서울 강남구,도곡렉슬,60.0,2021-07,1,218000.0,218000,218000
서울 강남구,도곡렉슬,60.0,2021-09,1,205000.0,205000,205000
서울 강남구,도곡렉슬,60.0,2021-10,3,229500.0,219000,246000
서울 강남구,도곡렉슬,60.0,2022-09,1,240000.0,240000,240000
서울 강남구,도곡렉슬,60.0,2023-01,2,160000.0,160000,160000
서울 강남구,도곡렉슬,60.0,2023-02,3,162500.0,160000,164500
서울 강남구,도곡렉슬,60.0,2023-03,4,172000.0,169000,190000
서울 강남구,도곡렉슬,60.0,2023-04,3,178000.0,165000,196000
서울 강남구,도곡렉슬,60.0,2023-05,6,194750.0,175000,205000
서울 강남구,도곡렉슬,60.0,2023-06,1,194000.0,194000,194000
서울 강남구,도곡렉슬,60.0,2023-07,4,179500.0,175000,201500
서울 강남구,도곡렉슬,60.0,2023-08,5,186500.0,180000,212000
서울 강남구,도곡렉슬,60.0,2023-09,1,211000.0,211000,211000
서울 강남구,도곡렉슬,60.0,2023-10,2,198500.0,182000,215000
서울 강남구,도곡렉슬,60.0,2023-12,1,215000.0,215000,215000
서울 강남구,도곡렉슬,60.0,2024-01,1,184000.0,184000,184000
서울 강남구,도곡렉슬,60.0,2024-03,3,187500.0,183500,215000
서울 강남구,도곡렉슬,60.0,2024-04,1,220000.0,220000,220000
서울 강남구,도곡렉슬,60.0,2024-05,4,220000.0,209500,222000
서울 강남구,도곡렉슬,60.0,2024-06,9,224000.0,180000,238000
서울 강남구,도곡렉슬,60.0,2024-07,5,233000.0,195000,247000
서울 강남구,도곡렉슬,60.0,2024-08,2,202000.0,190000,214000
서울 강남구,도곡렉슬,60.0,2024-09,3,215000.0,215000,249000
서울 강남구,도곡렉슬,60.0,2024-10,3,221000.0,220000,248000
서울 강남구,도곡렉슬,60.0,2024-11,1,248000.0,248000,248000
서울 강남구,도곡렉슬,60.0,2025-01,1,265000.0,265000,265000
서울 강남구,도곡렉슬,60.0,2025-02,5,258000.0,235000,281000
서울 강남구,도곡렉슬,60.0,2025-03,9,245000.0,223000,281000
서울 강남구,도곡렉슬,60.0,2025-04,1,280000.0,280000,280000
서울 강남구,도곡렉슬,60.0,2025-05,2,265000.0,250000,280000
서울 강남구,도곡렉슬,60.0,2025-06,3,260000.0,257000,290500
서울 강남구,도곡렉슬,60.0,2025-08,2,261500.0,253000,270000
서울 강남구,도곡렉슬,60.0,2025-09,1,283000.0,283000,283000
서울 강남구,도곡렉슬,60.0,2025-10,2,303500.0,290000,317000
서울 강남구,도곡렉슬,60.0,2025-11,2,278750.0,258000,299500
서울 강남구,도곡렉슬,60.0,2026-04,5,278000.0,250000,285000
서울 강남구,도곡렉슬,60.0,2026-05,2,282500.0,281000,284000
서울 강남구,도곡렉슬,60.0,2026-06,2,279500.0,269000,290000
서울 강남구,도곡렉슬,60.0,2026-07,2,280000.0,271000,289000
서울 강남구,도곡렉슬,84.9,2020-03,2,230500.0,229000,232000
서울 강남구,도곡렉슬,84.9,2020-04,1,220000.0,220000,220000
서울 강남구,도곡렉슬,84.9,2020-06,1,243000.0,243000,243000
서울 강남구,도곡렉슬,84.9,2020-11,2,284750.0,284500,285000
서울 강남구,도곡렉슬,84.9,2020-12,1,270000.0,270000,270000
서울 강남구,도곡렉슬,84.9,2021-06,1,290000.0,290000,290000
서울 강남구,도곡렉슬,84.9,2021-07,1,287000.0,287000,287000
서울 강남구,도곡렉슬,84.9,2022-07,1,299000.0,299000,299000
서울 강남구,도곡렉슬,84.9,2022-08,1,280000.0,280000,280000
서울 강남구,도곡렉슬,84.9,2023-03,1,238000.0,238000,238000
서울 강남구,도곡렉슬,84.9,2023-04,1,250000.0,250000,250000
서울 강남구,도곡렉슬,84.9,2023-05,1,260000.0,260000,260000
서울 강남구,도곡렉슬,84.9,2023-07,1,274500.0,274500,274500
서울 강남구,도곡렉슬,84.9,2023-09,1,268000.0,268000,268000
서울 강남구,도곡렉슬,84.9,2024-03,1,274000.0,274000,274000
서울 강남구,도곡렉슬,84.9,2024-06,1,275000.0,275000,275000
서울 강남구,도곡렉슬,84.9,2024-07,3,310000.0,302500,310000
서울 강남구,도곡렉슬,84.9,2025-03,1,339000.0,339000,339000
서울 강남구,도곡렉슬,84.9,2025-10,1,377000.0,377000,377000
서울 강남구,도곡렉슬,84.9,2025-11,1,255000.0,255000,255000
서울 강남구,도곡렉슬,84.9,2026-02,2,372500.0,365000,380000
서울 강남구,도곡렉슬,84.9,2026-04,1,350000.0,350000,350000
서울 강남구,도곡렉슬,84.9,2026-05,1,359500.0,359500,359500
서울 강남구,도곡렉슬,85.0,2020-02,6,230000.0,230000,231000
서울 강남구,도곡렉슬,85.0,2020-03,1,239000.0,239000,239000
서울 강남구,도곡렉슬,85.0,2020-04,1,235500.0,235500,235500
서울 강남구,도곡렉슬,85.0,2020-05,3,230000.0,230000,235000
서울 강남구,도곡렉슬,85.0,2020-06,9,234000.0,225000,249000
서울 강남구,도곡렉슬,85.0,2020-07,1,265500.0,265500,265500
서울 강남구,도곡렉슬,85.0,2020-08,3,277500.0,275000,285000
서울 강남구,도곡렉슬,85.0,2020-10,1,288000.0,288000,288000
서울 강남구,도곡렉슬,85.0,2020-11,2,279500.0,274000,285000
서울 강남구,도곡렉슬,85.0,2021-01,2,289000.0,289000,289000
서울 강남구,도곡렉슬,85.0,2021-05,4,282500.0,279500,285500
서울 강남구,도곡렉슬,85.0,2021-06,1,288000.0,288000,288000
서울 강남구,도곡렉슬,85.0,2021-07,4,292750.0,273000,297000
서울 강남구,도곡렉슬,85.0,2021-08,2,292500.0,290000,295000
서울 강남구,도곡렉슬,85.0,2021-09,2,303500.0,287000,320000
서울 강남구,도곡렉슬,85.0,2021-10,1,288000.0,288000,288000
서울 강남구,도곡렉슬,85.0,2022-03,1,313000.0,313000,313000
서울 강남구,도곡렉슬,85.0,2022-05,1,313000.0,313000,313000
서울 강남구,도곡렉슬,85.0,2022-06,2,235000.0,160000,310000
서울 강남구,도곡렉슬,85.0,2022-07,1,315000.0,315000,315000
서울 강남구,도곡렉슬,85.0,2022-08,1,315000.0,315000,315000
서울 강남구,도곡렉슬,85.0,2022-09,1,278000.0,278000,278000
서울 강남구,도곡렉슬,85.0,2023-01,4,240000.0,235000,256000
서울 강남구,도곡렉슬,85.0,2023-02,4,247500.0,237000,255000
서울 강남구,도곡렉슬,85.0,2023-03,4,249500.0,239500,262000
서울 강남구,도곡렉슬,85.0,2023-04,6,258500.0,249000,269000
서울 강남구,도곡렉슬,85.0,2023-05,3,268000.0,264500,270000
