지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
서울 강남구,11680,2026-09-19,개포동,185,개포주공6단지,83.21,10,340000,1983,,서울 강남구,,개인,개인,,11680-290,0185,0000,,,중개거래,1,N,,개포로,00516,00000,3122001,01,11680,0,11680,10300
서울 강남구,11680,2026-09-18,역삼동,838-10,강남웅진베어스빌,20.63,12,30000,2019,,,,개인,개인,,11680-4863,0838,0010,,,직거래,1,N,,도곡로,00113,00000,3122012,00,11680,0,11680,10100
서울 강남구,11680,2026-09-18,개포동,185,개포주공6단지,83.21,1,322500,1983,,서울 강남구,,개인,개인,,11680-290,0185,0000,,,중개거래,1,N,,개포로,00516,00000,3122001,01,11680,0,11680,10300
서울 강남구,11680,2026-09-18,개포동,185,개포주공7단지,53.46,2,300000,1983,,서울 강남구,,개인,개인,,11680-578,0185,0000,,,중개거래,1,N,,개포로,00516,00000,3122001,01,11680,0,11680,10300
서울 강남구,11680,2026-09-17,역삼동,711-3,역삼자이,114.019,12,388000,2016,,서울 강남구,,개인,개인,,11680-4515,0711,0003,,,중개거래,1,N,,언주로,00420,00000,3005086,00,11680,,11680,10100
서울 강남구,11680,2026-09-16,신사동,506-9,래미안신사,84.89,3,147000,2008,,,,개인,개인,,11680-3821,0506,0009,,,직거래,1,N,,압구정로2길,00020,00000,4166515,01,11680,0,11680,10700
서울 강남구,11680,2026-09-15,삼성동,48,한일,80.29,4,231500,2001,,서울 강남구,,개인,개인,,11680-195,0048,0000,,,중개거래,1,N,,봉은사로73길,00023,00000,4166377,01,11680,0,11680,10500
서울 강남구,11680,2026-09-15,역삼동,709-5,테헤란아이파크,92.6232,16,330000,2014,,서울 강남구,,개인,법인,,11680-4296,0709,0005,,,중개거래,1,N,,테헤란로52길,00016,00000,4166745,01,11680,0,11680,10100
서울 강남구,11680,2026-09-15,도곡동,527,도곡렉슬,84.9984,16,357000,2006,,서울 강남구,,개인,개인,,11680-3623,0527,0000,,,중개거래,1,N,,선릉로,00221,00000,3122006,08,11680,0,11680,11800
서울 강남구,11680,2026-09-12,청담동,122-35,청담신원아침도시마인,27.7131,4,33000,2013,,서울 강남구,,개인,개인,,11680-4284,0122,0035,,,중개거래,1,N,,도산대로85길,00030,00000,4166303,01,11680,0,11680,10400
서울 강남구,11680,2026-09-12,자곡동,619,강남자곡 힐스테이트,59.93,3,155500,2015,,서울 강남구,,개인,개인,,11680-4375,0619,0000,,,중개거래,1,N,,자곡로3길,00021,00000,4166878,01,11680,0,11680,11200
서울 강남구,11680,2026-09-11,대치동,316,은마,76.79,2,302000,1979,,서울 강남구,,개인,개인,,11680-218,0316,0000,,,중개거래,1,N,,삼성로,00212,00000,3122005,04,11680,0,11680,10600
서울 강남구,11680,2026-09-10,도곡동,467-19,현대비젼21,32.65,23,45000,1999,,서울 강남구,,개인,개인,,11680-354,0467,0019,,,중개거래,1,N,,언주로30길,00010,00000,4166604,01,11680,0,11680,11800
서울 강남구,11680,2026-09-10,대치동,890-49,선릉역대우아이빌(890-49),25.42,13,19500,2004,,,,개인,개인,,11680-528,0890,0049,,,직거래,1,N,26.09.11,테헤란로64길,00009,00000,4166751,01,11680,0,11680,10600
서울 강남구,11680,2026-09-10,개포동,12,성원대치2단지아파트,39.53,1,165000,1992,,서울 강남구,,개인,개인,,11680-280,0012,0000,,,중개거래,1,N,,개포로109길,00009,00000,4166040,01,11680,0,11680,10300
서울 강남구,11680,2026-09-09,개포동,185,개포주공7단지,73.26,7,310000,1983,,서울 강남구,,개인,개인,708,11680-578,0185,0000,,,중개거래,1,N,26.09.15,개포로,00516,00000,3122001,01,11680,0,11680,10300
서울 강남구,11680,2026-09-09,대치동,316,은마,84.43,12,390000,1979,,"서울 강남구, 서울 강동구",,개인,개인,,11680-218,0316,0000,,,중개거래,1,N,,삼성로,00212,00000,3122005,04,11680,0,11680,10600
서울 강남구,11680,2026-09-07,수서동,746,까치마을,34.44,12,155000,1993,,서울 강남구,,개인,개인,,11680-314,0746,0000,,,중개거래,1,N,,광평로19길,00010,00000,4166071,02,11680,0,11680,11500
서울 강남구,11680,2026-09-07,압구정동,455,"현대5차(71,72동)",82.23,10,510000,1977,,서울 강남구,,개인,개인,,11680-419,0455,0000,,,중개거래,1,N,,압구정로29길,00068,00000,4166514,01,11680,0,11680,11000
