거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd,지역,지역코드
2026-09-19,장지동,963,동탄호수자이파밀리에,84.98,15,93000,2018,,경기 화성시 동탄구,,개인,개인,,41590-1695,0963,0000,,,중개거래,1,N,,동탄대로2길,00019,00000,4852333,00,41597,0,41597,11100,화성시,41597
2026-09-18,목동,489,동탄동원로얄듀크2차,84.9889,6,80000,2019,,경기 화성시 동탄구,,개인,개인,,41590-1836,0489,0000,,,중개거래,1,N,,동탄순환대로19길,00021,00000,4852377,00,41597,0,41597,10900,화성시,41597
2026-09-18,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,19,91000,2007,,경기 화성시 동탄구,,개인,개인,,41590-973,0080,0000,,,중개거래,1,N,,동탄중앙로,00189,00000,3210027,01,41597,0,41597,10200,화성시,41597
2026-09-18,목동,477,동탄2신도시 베라체,59.99,1,60000,2018,,경기 화성시 동탄구,,개인,개인,,41590-1790,0477,0000,,,중개거래,1,N,,동탄순환대로20길,00013,00000,4852378,00,41597,0,41597,10900,화성시,41597
2026-09-18,반송동,75,동탄시범다은마을센트럴파크뷰,79.84,11,69000,2008,,경기 화성시 동탄구,,개인,개인,,41590-1019,0075,0000,,,중개거래,1,N,,동탄공원로1길,00006,00059,4431476,01,41597,0,41597,10200,화성시,41597
2026-09-18,목동,494,호반베르디움센트럴포레,84.8388,4,79500,2017,,경기 화성시 동탄구,,개인,개인,,41590-1589,0494,0000,,,중개거래,1,N,,동탄신리천로1길,00074,00000,4852387,00,41597,0,41597,10900,화성시,41597
2026-09-17,장지동,1011,동탄2아이파크2단지,96.9548,9,60000,2019,,경기 화성시 동탄구,,개인,개인,,41590-1896,1011,0000,,,중개거래,1,N,,동탄대로4길,00143,00000,4852335,02,41597,,41597,11100,화성시,41597
2026-09-17,목동,479,동탄금강펜테리움센트럴파크Ⅳ,74.8709,18,74500,2018,,경기 화성시 동탄구,,개인,개인,,41590-1682,0479,0000,,,중개거래,1,N,,동탄순환대로20길,00045,00000,4852378,00,41597,0,41597,10900,화성시,41597
2026-09-17,장지동,963,동탄호수자이파밀리에,59.64,15,79000,2018,,경기 화성시 동탄구,,개인,개인,,41590-1695,0963,0000,,,중개거래,1,N,,동탄대로2길,00019,00000,4852333,00,41597,0,41597,11100,화성시,41597
2026-09-17,영천동,720,동탄역포레너스,84.5442,7,85000,2017,,경기 화성시 동탄구,,개인,개인,,41590-1570,0720,0000,,,중개거래,1,N,,동탄대로24길,00199,00000,4852357,00,41597,0,41597,10600,화성시,41597
2026-09-17,능동,1131,자연앤데시앙,84.84,17,71700,2008,,경기 화성시 동탄구,,개인,개인,,41590-1042,1131,0000,,,중개거래,1,N,,동탄숲속로,00068,00000,3210145,01,41597,0,41597,10100,화성시,41597
2026-09-17,여울동,1044,반도유보라아이비파크3,59.987,1,66500,2016,,경기 화성시 동탄구,,개인,개인,,41590-1498,1044,0000,,,중개거래,1,N,,동탄대로12길,00017,00000,4852346,00,41597,0,41597,11500,화성시,41597
2026-09-17,영천동,892,동탄파크자이,99.6918,5,97500,2018,,"경기 안양시 동안구, 경기 화성시 동탄구",,개인,개인,,41590-1766,0892,0000,,,중개거래,1,N,,동탄대로24길,00117,00000,4852357,00,41597,0,41597,10600,화성시,41597
2026-09-17,목동,478,이편한세상동탄,74.44,10,70000,2018,,경기 화성시 동탄구,,개인,개인,,41590-1676,0478,0000,,,중개거래,1,N,,동탄순환대로20길,00031,00000,4852378,00,41597,0,41597,10900,화성시,41597
2026-09-16,송동,693,동탄2하우스디더레이크,74.88,6,101500,2016,,경기 화성시 동탄구,,개인,개인,,41590-1538,0693,0000,,,중개거래,1,N,,동탄대로9길,00019,00000,4852343,00,41597,0,41597,11200,화성시,41597
2026-09-16,반송동,134,솔빛마을신도브래뉴,84.753,10,107000,2007,,경기 화성시 동탄구,,개인,개인,,41590-993,0134,0000,,,중개거래,1,N,,동탄반석로,00070,00000,3210169,00,41597,,41597,10200,화성시,41597
2026-09-16,장지동,1011,동탄2아이파크2단지,96.9237,9,60000,2019,,"경기 오산시, 경기 화성시 동탄구",,개인,개인,,41590-1896,1011,0000,,,중개거래,1,N,,동탄대로4길,00143,00000,4852335,02,41597,,41597,11100,화성시,41597
2026-09-16,영천동,716,동탄역반도유보라아이비파크2.0,84.9921,24,90000,2016,,경기 화성시 동탄구,,개인,개인,,41590-1438,0716,0000,,,중개거래,1,N,,동탄순환대로26길,00055,00000,4852383,01,41597,,41597,10600,화성시,41597
2026-09-16,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,59.07,23,90900,2007,,경기 화성시 동탄구,,개인,개인,,41590-973,0080,0000,,,중개거래,1,N,,동탄중앙로,00189,00000,3210027,01,41597,0,41597,10200,화성시,41597
2026-09-16,산척동,718,동탄 더 레이크 팰리스,88.025,12,114000,2018,,경기 화성시 동탄구,,개인,개인,,41590-1805,0718,0000,,,중개거래,1,N,,동탄대로8길,00035,00000,4852342,00,41597,,41597,11000,화성시,41597
