지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
성남시 분당구,41135,2026-09-19,정자동,102,한솔마을(4단지)(주공),35.28,12,110000,1994,,경기 성남시 분당구,,개인,개인,,41135-67,0102,0000,,,중개거래,1,N,,백현로,00206,00000,3180022,02,41135,0,41135,10300
성남시 분당구,41135,2026-09-19,야탑동,205,매화마을(주공3),38.34,5,91000,1993,,경기 성남시 분당구,,개인,개인,,41135-117,0205,0000,,,중개거래,1,N,,양현로,00507,00000,3180042,03,41135,0,41135,10700
성남시 분당구,41135,2026-09-18,야탑동,201,매화마을공무원1,58.92,7,113000,1995,,경기 성남시 분당구,,개인,개인,,41135-119,0201,0000,,,중개거래,1,N,,매화로,00092,00000,3180012,01,41135,0,41135,10700
성남시 분당구,41135,2026-09-17,야탑동,211,매화마을(주공4),35.28,1,75000,1993,,경기 성남시 분당구,,개인,개인,,41135-249,0211,0000,,,중개거래,1,N,,장미로,00193,00000,3180048,01,41135,0,41135,10700
성남시 분당구,41135,2026-09-16,구미동,242,무지개(7단지)(라이프),101.99,10,147000,1995,,"경기 성남시 분당구, 경기 성남시 중원구",,개인,개인,,41135-182,0242,0000,,,중개거래,1,N,,구미로,00143,00000,3180001,01,41135,0,41135,11400
성남시 분당구,41135,2026-09-16,구미동,88,까치마을(2단지)(주공),58.14,10,150000,1995,,경기 성남시 분당구,,개인,개인,,41135-167,0088,0000,,,중개거래,1,N,,미금일로,00022,00000,3180061,03,41135,0,41135,11400
성남시 분당구,41135,2026-09-14,구미동,66,까치마을(3단지)(신원),130.83,12,222000,1995,,경기 성남시 분당구,,개인,개인,,41135-165,0066,0000,,,중개거래,1,N,,미금로,00177,00000,3180016,02,41135,0,41135,11400
성남시 분당구,41135,2026-09-14,정자동,110,한솔마을(1단지)(청구),134.95,9,215000,1994,,경기 성남시 분당구,,개인,개인,,41135-68,0110,0000,,,중개거래,1,N,,불정로,00219,00000,3180030,03,41135,0,41135,10300
성남시 분당구,41135,2026-09-12,금곡동,192,두산위브트레지움,120.14,10,190000,2003,,경기 성남시 분당구,,개인,개인,,41135-235,0192,0000,,,중개거래,1,N,,정자일로,00055,00000,3180021,02,41135,0,41135,11100
성남시 분당구,41135,2026-09-12,정자동,112,한솔마을(5단지)(주공),42.75,5,143000,1994,,경기 성남시 분당구,,개인,개인,,41135-223,0112,0000,,,중개거래,1,N,,정자로,00115,00000,3180058,01,41135,0,41135,10300
성남시 분당구,41135,2026-09-12,판교동,635,판교원마을6단지(판교대광로제비앙),58.24,6,155500,2009,,경기 성남시 분당구,,개인,개인,,41135-446,0635,0000,,,중개거래,1,N,,판교원로,00209,00000,3180052,01,41135,0,41135,10800
성남시 분당구,41135,2026-09-12,서현동,87,시범한신,84.69,19,231000,1991,,경기 성남시 분당구,,개인,개인,,41135-102,0087,0000,,,중개거래,1,N,,중앙공원로,00053,00000,3180049,01,41135,0,41135,10500
성남시 분당구,41135,2026-09-11,판교동,513,판교원마을11단지(힐스테이트),118.6,9,200000,2009,,"경기 성남시 분당구, 경기 성남시 중원구",,개인,개인,,41135-448,0513,0000,,,중개거래,1,N,,서판교로,00147,00000,3180044,01,41135,0,41135,10800
성남시 분당구,41135,2026-09-11,야탑동,518,탑마을(주공),35.28,3,84000,1993,,경기 성남시 분당구,,개인,개인,,41135-147,0518,0000,,,중개거래,1,N,,매화로,00012,00000,3180012,01,41135,0,41135,10700
성남시 분당구,41135,2026-09-11,구미동,77,까치마을(1단지)(대우롯데선경),51.32,1,143000,1995,,경기 성남시 분당구,,개인,개인,,41135-232,0077,0000,,,중개거래,1,N,,미금로,00184,00000,3180016,02,41135,0,41135,11400
성남시 분당구,41135,2026-09-10,이매동,132,아름마을(건영),133.89,10,192000,1992,,"경기 성남시 분당구, 경기 용인시 수지구",,개인,개인,,41135-81,0132,0000,,,중개거래,1,N,,판교로,00430,00000,3180051,01,41135,0,41135,10600
성남시 분당구,41135,2026-09-10,야탑동,201,매화마을공무원1,58.92,10,108000,1995,,경기 성남시 분당구,,개인,개인,,41135-119,0201,0000,,,중개거래,1,N,,매화로,00092,00000,3180012,01,41135,0,41135,10700
성남시 분당구,41135,2026-09-10,구미동,110,하얀마을(5단지)(주공),35.28,8,100000,1995,,경기 성남시 분당구,,개인,개인,,41135-207,0110,0000,,,중개거래,1,N,,미금일로,00021,00000,3180061,03,41135,0,41135,11400
성남시 분당구,41135,2026-09-09,수내동,54,파크타운(삼익),131.49,12,245000,1993,,경기 성남시 분당구,,개인,개인,,41135-76,0054,0000,,,중개거래,1,N,,내정로166번길,00042,00000,4340035,01,41135,0,41135,10200
성남시 분당구,41135,2026-09-09,구미동,222,무지개(10단지)(삼성),134.97,9,128100,1996,,,,개인,개인,제1005,41135-183,0222,0000,,,직거래,1,N,26.09.15,구미로,00100,00000,3180001,01,41135,0,41135,11400
성남시 분당구,41135,2026-09-09,정자동,174-1,분당더샾스타파크,117.2333,5,197000,2007,,"경기 성남시 분당구, 경기 용인시 수지구",,개인,개인,,41135-422,0174,0001,,,중개거래,1,N,,정자일로,00121,00000,3180021,01,41135,0,41135,10300
성남시 분당구,41135,2026-09-09,야탑동,201,매화마을공무원1,58.92,4,104000,1995,,"경기 성남시 분당구, 경기 화성시 동탄구",,개인,개인,,41135-119,0201,0000,,,중개거래,1,N,,매화로,00092,00000,3180012,01,41135,0,41135,10700
