지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
성남시 수정구,41131,2026-09-18,고등동,590,판교밸리제일풍경채,84.9959,8,134800,2020,,,,개인,법인,,41131-1645,0590,0000,,,직거래,1,N,,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-09-16,고등동,590,판교밸리제일풍경채,84.9387,11,141400,2020,,,,개인,법인,,41131-1645,0590,0000,,,직거래,1,N,,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-09-15,고등동,590,판교밸리제일풍경채,84.8324,2,121800,2020,,,,개인,법인,,41131-1645,0590,0000,,,직거래,1,N,,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-09-15,단대동,124,진로,114.78,7,94000,1998,,"경기 성남시 수정구, 경기 수원시 권선구",,개인,개인,,41131-19,0124,0000,,,중개거래,1,N,,단대로23번길,00032,00000,4334123,01,41131,0,41131,10400
성남시 수정구,41131,2026-09-15,단대동,6,선경논골,34.05,2,24000,1991,,"경기 성남시 수정구, 경기 성남시 중원구",,개인,개인,,41131-18,0006,0000,,,중개거래,1,N,,논골로,00087,00000,3178005,01,41131,0,41131,10400
성남시 수정구,41131,2026-09-14,고등동,590,판교밸리제일풍경채,84.9387,7,140200,2020,,,,개인,법인,,41131-1645,0590,0000,,,직거래,1,N,,고등공원로,00019,00000,3352361,00,41131,0,41131,11200
성남시 수정구,41131,2026-09-14,신흥동,6951,산성역포레스티아,59.84,13,150000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-09-12,수진동,4663,삼부,59.76,1,86300,1996,,경기 성남시 수정구,,개인,개인,,41131-13,4663,0000,,,중개거래,1,N,,모란로,00065,00000,3178010,02,41131,0,41131,10300
성남시 수정구,41131,2026-09-12,신흥동,6951,산성역포레스티아,59.84,2,143000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-09-12,태평동,7344,가천대역동부센트레빌2단지,69.18,7,80000,2007,,경기 성남시 수정구,,개인,개인,,41131-1276,7344,0000,,,중개거래,1,N,,제일로,00244,00000,3179021,01,41131,0,41131,10200
