지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
서울 송파구,11710,2026-09-19,신천동,17,파크리오,84.9,21,300000,2008,,"서울 성동구, 서울 송파구",,개인,개인,,11710-6266,0017,0000,,,중개거래,1,N,,올림픽로,00435,00000,3123023,02,11710,0,11710,10200
서울 송파구,11710,2026-09-19,방이동,50-10,동광팰리스,22.57,16,40000,2018,,서울 송파구,,개인,개인,,11710-8754,0050,0010,,,중개거래,1,N,,오금로11길,00063,00013,4169374,00,11710,0,11710,11100
서울 송파구,11710,2026-09-18,장지동,833,송파파인타운1단지,84.95,4,175000,2010,,서울 송파구,,개인,개인,,11710-6486,0833,0000,,,중개거래,1,N,,충민로,00188,00000,3123017,02,11710,0,11710,10900
서울 송파구,11710,2026-09-18,잠실동,22,리센츠,27.68,6,150000,2008,,서울 강남구,,개인,개인,,11710-6249,0022,0000,,,중개거래,1,N,,올림픽로,00135,00000,3123023,01,11710,0,11710,10100
서울 송파구,11710,2026-09-17,풍납동,413-1,현대1,83.02,13,200000,1995,,서울 송파구,,개인,개인,,11710-18,0413,0001,,,중개거래,1,N,,올림픽로,00525,00000,3123023,03,11710,0,11710,10300
서울 송파구,11710,2026-09-17,송파동,14,갑오빌라트,75.13,3,99000,2003,,서울 송파구,,개인,개인,,11710-219,0014,0000,,,중개거래,1,N,,백제고분로41길,00019,00025,4169193,01,11710,0,11710,10400
서울 송파구,11710,2026-09-15,석촌동,24-3,석촌호수효성해링턴타워,15.8307,6,20800,2015,,서울 송파구,,개인,개인,,11710-7855,0024,0003,,,중개거래,1,N,,석촌호수로,00210,00000,3123009,01,11710,0,11710,10500
서울 송파구,11710,2026-09-15,풍납동,515,올림픽레아아파트,29.2699,5,52300,2024,,서울 송파구,,개인,개인,,11710-9656,0515,0000,,,중개거래,1,N,,토성로19길,00001,00000,4169491,00,11710,0,11710,10300
서울 송파구,11710,2026-09-15,석촌동,285,잠실한솔,59.86,11,192000,2000,,서울 송파구,,개인,개인,,11710-40,0285,0000,,,중개거래,1,N,,백제고분로,00348,00000,3123006,03,11710,0,11710,10500
서울 송파구,11710,2026-09-14,문정동,150,올림픽훼밀리타운,136.325,5,305000,1988,,서울 강동구,,개인,개인,,11710-89,0150,0000,,,중개거래,1,N,,중대로,00024,00000,3123016,02,11710,0,11710,10800
서울 송파구,11710,2026-09-12,신천동,17,파크리오,84.97,21,315000,2008,,서울 송파구,,개인,개인,,11710-6266,0017,0000,,,중개거래,1,N,,올림픽로,00435,00000,3123023,02,11710,0,11710,10200
서울 송파구,11710,2026-09-12,잠실동,19,잠실엘스,84.88,16,332500,2008,,서울 송파구,,개인,개인,,11710-6346,0019,0000,,,중개거래,1,N,,올림픽로,00099,00000,3123023,01,11710,0,11710,10100
서울 송파구,11710,2026-09-12,장지동,847,송파파인타운6단지,84.98,15,190000,2008,,서울 송파구,,개인,개인,,11710-6309,0847,0000,,,중개거래,1,N,,충민로6길,00014,00000,4169488,01,11710,0,11710,10900
서울 송파구,11710,2026-09-12,잠실동,35,트리지움,84.97,9,321000,2007,,서울 송파구,,개인,개인,,11710-6028,0035,0000,,,중개거래,1,N,,잠실로,00062,00000,3123015,01,11710,0,11710,10100
서울 송파구,11710,2026-09-12,가락동,165,래미안파크팰리스,59.968,6,229000,2007,,서울 송파구,,개인,개인,,11710-6150,0165,0000,,,중개거래,1,N,,동남로,00225,00000,3000034,01,11710,0,11710,10700
서울 송파구,11710,2026-09-11,잠실동,19,잠실엘스,59.96,18,292000,2008,,서울 송파구,,개인,개인,,11710-6346,0019,0000,,,중개거래,1,N,,올림픽로,00099,00000,3123023,01,11710,0,11710,10100
